10
6 8
1 2 8
1 3 3
6 3 3
2 5 2
2 6 9
5 3 6
1 6 7
4 5 7
2 4
6 8
2 1 6
2 4 18
5 3 4
2 6 4
6 1 20
2 3 11
3 1 19
4 3 2
2 5
7 9
2 1 22
3 7 27
1 3 8
3 5 16
2 6 22
2 5 23
4 1 5
1 7 6
5 7 29
4 6
10 14
7 1 26
8 10 47
6 5 42
1 2 2
1 5 11
7 6 46
9 7 44
2 3 30
2 8 48
3 7 38
4 5 24
7 5 1
7 8 35
5 10 22
7 9
50 70
31 29 963331582
21 25 534673896
41 40 37242352
23 4 46682298
34 46 997950557
45 50 22352163
44 23 37242719
6 29 873661640
34 39 545972456
50 32 37242064
16 35 389489791
42 3 888703596
39 37 192073749
28 43 37240744
20 36 95663347
23 43 37242481
4 38 661728433
7 31 280783159
37 22 291077279
15 40 362220866
5 41 563584821
30 33 521839425
21 8 37245741
9 36 812928748
47 17 739243715
49 34 37242147
31 26 764647574
19 26 209374178
47 27 37240747
5 44 185469883
20 37 550855961
5 17 427516421
26 3 280768602
24 4 672784396
12 28 37244784
44 30 37243767
2 34 456355663
46 50 806908575
20 43 15938668
10 40 737330667
4 10 782567482
32 1 37245062
21 13 37244124
20 15 3835501
24 40 309105865
7 36 265084093
40 48 228798504
35 1 287763095
33 38 944039374
1 47 37245907
35 45 788776121
12 34 222391865
10 21 628417135
37 33 648020307
12 41 298885453
48 13 37241929
47 35 808207428
1 34 703170216
12 27 37241663
39 14 271052743
23 5 734315091
49 25 979900323
50 40 37242022
38 42 387770782
41 49 37243901
18 33 758889774
34 11 130382787
9 30 205918558
14 16 131703137
34 8 37240898
30 48
100 140
10 89 913429239
91 21 441638980
3 6 67591161
25 26 25795502
29 57 687241201
16 76 422632395
29 4 606200174
92 8 159336782
83 4 964486555
57 89 372938594
76 72 25801911
48 57 25808344
38 94 775679515
1 68 948143833
20 56 227683223
77 80 339921972
94 28 54134661
22 97 288717678
79 99 25812410
43 19 370636547
8 66 817530534
33 82 252628884
4 78 578886516
62 70 632017435
21 60 80681755
68 97 249397272
14 19 522909402
86 97 245251586
35 80 130238074
53 79 96474654
100 4 241210071
70 96 646458089
76 10 25800621
11 13 526313454
6 28 402938479
9 58 832263732
8 55 280117444
81 60 18155505
67 51 411646453
92 62 224916175
57 35 44568552
49 36 25808056
50 88 456499543
41 37 139602504
65 32 656551913
79 3 418831877
65 39 228093712
39 91 361059666
59 37 214779459
68 84 993275225
99 74 910768279
38 40 782887076
59 73 353061828
49 92 25799876
74 93 182488689
34 19 193830344
24 22 25792695
53 90 336637335
67 52 905930233
90 20 25800597
66 69 315770737
93 64 27048688
98 62 669230526
72 63 25800002
36 54 921101652
97 73 506931416
54 95 605620751
16 30 332497132
83 85 816206131
14 4 25803078
23 33 345084360
26 44 25795078
20 75 25806970
43 97 20578238
93 12 57903352
34 71 994139848
27 44 25803015
27 40 103254601
44 87 29998004
53 36 25790624
51 78 800767751
85 4 432864643
3 45 213747001
47 18 25793051
93 59 75845198
46 13 981238425
66 78 796996373
45 17 886869836
76 89 877586463
33 27 25810626
44 31 336837168
79 23 587147108
2 37 512734214
43 92 218115591
4 82 861062925
11 24 25809560
14 80 25805307
79 69 25808224
29 73 518829735
5 86 825146974
71 24 36385685
63 22 25798560
65 61 471677986
14 100 240226336
69 46 782404326
17 15 563571023
53 69 25803563
47 57 25799404
58 34 664913715
90 18 25791196
60 32 377442132
92 80 25800823
98 81 91252856
17 46 354322353
90 9 594688973
90 59 151080588
48 33 25791164
